Data_Tweet,Autor,Local,Tweet_Text,Retweeted,Favourited,Retweet Count,Favorite Count,In Reply to
2018-03-10 15:01:01,Saraiva,,"b'Queremos saber: na sua opiniao, quem deveria liderar a Liga da Justica? https://t.co/vUps5W2PCO https://t.co/0HlAIiZTX3'",False,False,4,60,
2018-03-08 20:22:59,Saraiva,,b'Voce tem o costume de acompanhar a literatura feminina? Grandes mulheres sao responsaveis pela producao de livros excelentes dia apos dia. Conheca alguns deles aqui: https://t.co/ox8phSlyS0 https://t.co/rV5KWH61A3',False,False,7,40,
2018-03-08 17:01:02,Saraiva,,"b'Quem le sabe que o feminismo nao e uma afronta das mulheres, e sim, uma exigencia de respeito e reconhecimento em uma sociedade tao desigual. Para entender esses conceitos, leia Feminismo Em Comum: Para Todas, Todes E Todos.: https://t.co/tcHwSoJRIV https://t.co/vJ2rJDElzw'",False,False,36,154,
2018-03-08 12:00:01,Saraiva,,"b'Aqui na Saraiva tem livros em oferta para alunos de todos os cursos. Conta pra gente: qual e, ou foi, o seu curso na facul? https://t.co/ir3JblqrNb'",False,False,2,40,
2018-03-07 21:00:44,Saraiva,,b'Voce compra bastante na Saraiva? Sabia que essas compras podem te dar pontos que se transformam em descontos? Faca parte do Saraiva Plus: https://t.co/IXM2BlHlIm https://t.co/c8zH6Qelyv',False,False,3,40,
2018-03-07 16:00:02,Saraiva,,"b'Humanas, exatas, biologicas... nao importa qual galera voce escolheu: aqui na Saraiva todo mundo encontra os descontos certos para ajudar nos estudos: https://t.co/ZAMSZpuqSd https://t.co/z6rAQD39O2'",False,False,0,16,
2018-03-07 15:00:27,Saraiva,,"b'Nunca e tarde demais para comecar a ouvir Jimi Hendrix. Com uma coletanea que reune ate faixas nunca antes lancadas fica ainda melhor. ""Both Sides Of The Sky"" na Saraiva: https://t.co/EyfpgshkMO https://t.co/GY1d4agrFT'",False,False,1,23,
2018-03-06 21:00:03,Saraiva,,"b'No aniversario do eterno Gabriel Garcia Marquez, de um presente para seus amigos e indique a leitura de um dos maiores escritores latino-americanos da historia: https://t.co/0FVIvC9Mqw https://t.co/IIlr1Qz2T7'",False,False,4,27,
2018-03-06 19:59:36,Saraiva,,"b'Ofertas para nao ficar perdido no primeiro semestre da facul? Na Saraiva, tem: https://t.co/gOlQIfbUvd https://t.co/a9go6gVP5k'",False,False,1,12,
2018-03-06 17:00:27,Saraiva,,b'Grandes roteiros inspiram-se em grandes livros. Conheca as historias que sairam do papel para levantar a estatueta do Oscar: https://t.co/0RgD8vY4iJ https://t.co/CkspqugzSk',False,False,3,35,
